Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	orig.sound.file	f0	label
1	2	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	1	1	Spectrogram 1	1	2214.08990550889	3603.1091742836	start_marker	start_marker	marker
2.8	3.8	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	2.8	2	Spectrogram 1	1	150	1206.90977515244	001_f0-200_ncomp-5_neg.wav_1	f0 200	5_n
4.6	5.6	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	4.6	3	Spectrogram 1	1	150	1206.90977515244	002_f0-200_ncomp-5_pos.wav_1	f0 200	5_p
6.4	7.4	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	6.4	4	Spectrogram 1	1	150	1385.47780106707	003_f0-200_ncomp-6_neg.wav_1	f0 200	6_n
8.2	9.2	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	8.2	5	Spectrogram 1	1	150	1385.47780106707	004_f0-200_ncomp-6_pos.wav_1	f0 200	6_p
10	11	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	10	6	Spectrogram 1	1	150	1564.04582698171	005_f0-200_ncomp-7_neg.wav_1	f0 200	7_n
11.8	12.8	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	11.8	7	Spectrogram 1	1	150	1564.04582698171	006_f0-200_ncomp-7_pos.wav_1	f0 200	7_p
13.6	14.6	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	13.6	8	Spectrogram 1	1	150	1831.89786585366	007_f0-200_ncomp-8_neg.wav_1	f0 200	8_n
15.4	16.4	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	15.4	9	Spectrogram 1	1	150	1831.89786585366	008_f0-200_ncomp-8_pos.wav_1	f0 200	8_p
17.2	18.2	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	17.2	10	Spectrogram 1	1	150	2010.46589176829	009_f0-200_ncomp-9_neg.wav_1	f0 200	9_n
19	20	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	19	11	Spectrogram 1	1	150	2010.46589176829	010_f0-200_ncomp-9_pos.wav_1	f0 200	9_p
20.8	21.8	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	20.8	12	Spectrogram 1	1	150	2189.03391768293	011_f0-200_ncomp-10_neg.wav_1	f0 200	10_n
22.6	23.6	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	22.6	13	Spectrogram 1	1	150	2189.03391768293	012_f0-200_ncomp-10_pos.wav_1	f0 200	10_p
24.4	25.4	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	24.4	14	Spectrogram 1	1	150	2456.88595655488	013_f0-200_ncomp-11_neg.wav_1	f0 200	11_n
26.2	27.2	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	26.2	15	Spectrogram 1	1	150	2456.88595655488	014_f0-200_ncomp-11_pos.wav_1	f0 200	11_p
28	29	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	28	16	Spectrogram 1	1	150	2635.45398246951	015_f0-200_ncomp-12_neg.wav_1	f0 200	12_n
29.8	30.8	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	29.8	17	Spectrogram 1	1	150	2635.45398246951	016_f0-200_ncomp-12_pos.wav_1	f0 200	12_p
31.6	32.6	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	31.6	18	Spectrogram 1	1	150	2814.02200838415	017_f0-200_ncomp-13_neg.wav_1	f0 200	13_n
33.4	34.4	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	33.4	19	Spectrogram 1	1	150	2814.02200838415	018_f0-200_ncomp-13_pos.wav_1	f0 200	13_p
35.2	36.2	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	35.2	20	Spectrogram 1	1	150	3081.8740472561	019_f0-200_ncomp-14_neg.wav_1	f0 200	14_n
37	38	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	37	21	Spectrogram 1	1	150	3081.8740472561	020_f0-200_ncomp-14_pos.wav_1	f0 200	14_p
38.8	39.8	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	38.8	22	Spectrogram 1	1	150	3260.44207317073	021_f0-200_ncomp-15_neg.wav_1	f0 200	15_n
40.6	41.6	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	40.6	23	Spectrogram 1	1	150	3260.44207317073	022_f0-200_ncomp-15_pos.wav_1	f0 200	15_p
42.4	43.4	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	42.4	24	Spectrogram 1	1	150	3439.01009908537	023_f0-200_ncomp-16_neg.wav_1	f0 200	16_n
44.2	45.2	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	44.2	25	Spectrogram 1	1	150	3439.01009908537	024_f0-200_ncomp-16_pos.wav_1	f0 200	16_p
46	47	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	46	26	Spectrogram 1	1	150	3706.86213795732	025_f0-200_ncomp-17_neg.wav_1	f0 200	17_n
47.8	48.8	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	47.8	27	Spectrogram 1	1	150	3706.86213795732	026_f0-200_ncomp-17_pos.wav_1	f0 200	17_p
49.6	50.6	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	49.6	28	Spectrogram 1	1	150	3885.43016387195	027_f0-200_ncomp-18_neg.wav_1	f0 200	18_n
51.4	52.4	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	51.4	29	Spectrogram 1	1	150	3885.43016387195	028_f0-200_ncomp-18_pos.wav_1	f0 200	18_p
53.2	54.2	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	53.2	30	Spectrogram 1	1	150	4063.99818978658	029_f0-200_ncomp-19_neg.wav_1	f0 200	19_n
55	56	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	55	31	Spectrogram 1	1	150	4063.99818978658	030_f0-200_ncomp-19_pos.wav_1	f0 200	19_p
56.8	57.8	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	56.8	32	Spectrogram 1	1	150	4331.85022865854	031_f0-200_ncomp-20_neg.wav_1	f0 200	20_n
58.6	59.6	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	58.6	33	Spectrogram 1	1	150	4331.85022865854	032_f0-200_ncomp-20_pos.wav_1	f0 200	20_p
60.4	61.4	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	60.4	34	Spectrogram 1	1	150	4510.41825457317	033_f0-200_ncomp-21_neg.wav_1	f0 200	21_n
62.2	63.2	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	62.2	35	Spectrogram 1	1	150	4510.41825457317	034_f0-200_ncomp-21_pos.wav_1	f0 200	21_p
64	65	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	64	36	Spectrogram 1	1	150	4688.9862804878	035_f0-200_ncomp-22_neg.wav_1	f0 200	22_n
65.8	66.8	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	65.8	37	Spectrogram 1	1	150	4688.9862804878	036_f0-200_ncomp-22_pos.wav_1	f0 200	22_p
67.6	68.6	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	67.6	38	Spectrogram 1	1	150	4956.83831935976	037_f0-200_ncomp-23_neg.wav_1	f0 200	23_n
69.4	70.4	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	69.4	39	Spectrogram 1	1	150	4956.83831935976	038_f0-200_ncomp-23_pos.wav_1	f0 200	23_p
71.2	72.2	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	71.2	40	Spectrogram 1	1	150	5135.40634527439	039_f0-200_ncomp-24_neg.wav_1	f0 200	24_n
73	74	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	73	41	Spectrogram 1	1	150	5135.40634527439	040_f0-200_ncomp-24_pos.wav_1	f0 200	24_p
74.8	75.8	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	74.8	42	Spectrogram 1	1	150	5313.97437118902	041_f0-200_ncomp-25_neg.wav_1	f0 200	25_n
76.6	77.6	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	76.6	43	Spectrogram 1	1	150	5313.97437118902	042_f0-200_ncomp-25_pos.wav_1	f0 200	25_p
78.4	79.4	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	78.4	44	Spectrogram 1	1	250	1742.61385289634	043_f0-300_ncomp-5_neg.wav_1	f0 300	5_n
80.2	81.2	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	80.2	45	Spectrogram 1	1	250	1742.61385289634	044_f0-300_ncomp-5_pos.wav_1	f0 300	5_p
82	83	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	82	46	Spectrogram 1	1	250	2010.46589176829	045_f0-300_ncomp-6_neg.wav_1	f0 300	6_n
83.8	84.8	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	83.8	47	Spectrogram 1	1	250	2010.46589176829	046_f0-300_ncomp-6_pos.wav_1	f0 300	6_p
85.6	86.6	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	85.6	48	Spectrogram 1	1	250	2367.60194359756	047_f0-300_ncomp-7_neg.wav_1	f0 300	7_n
87.4	88.4	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	87.4	49	Spectrogram 1	1	250	2367.60194359756	048_f0-300_ncomp-7_pos.wav_1	f0 300	7_p
89.2	90.2	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	89.2	50	Spectrogram 1	1	250	2635.45398246951	049_f0-300_ncomp-8_neg.wav_1	f0 300	8_n
91	92	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	91	51	Spectrogram 1	1	250	2635.45398246951	050_f0-300_ncomp-8_pos.wav_1	f0 300	8_p
92.8	93.8	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	92.8	52	Spectrogram 1	1	250	2992.59003429878	051_f0-300_ncomp-9_neg.wav_1	f0 300	9_n
94.6	95.6	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	94.6	53	Spectrogram 1	1	250	2992.59003429878	052_f0-300_ncomp-9_pos.wav_1	f0 300	9_p
96.4	97.4	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	96.4	54	Spectrogram 1	1	250	3260.44207317073	053_f0-300_ncomp-10_neg.wav_1	f0 300	10_n
98.2	99.2	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	98.2	55	Spectrogram 1	1	250	3260.44207317073	054_f0-300_ncomp-10_pos.wav_1	f0 300	10_p
100	101	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	100	56	Spectrogram 1	1	250	3617.578125	055_f0-300_ncomp-11_neg.wav_1	f0 300	11_n
101.8	102.8	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	101.8	57	Spectrogram 1	1	250	3617.578125	056_f0-300_ncomp-11_pos.wav_1	f0 300	11_p
103.6	104.6	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	103.6	58	Spectrogram 1	1	250	3885.43016387195	057_f0-300_ncomp-12_neg.wav_1	f0 300	12_n
105.4	106.4	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	105.4	59	Spectrogram 1	1	250	3885.43016387195	058_f0-300_ncomp-12_pos.wav_1	f0 300	12_p
107.2	108.2	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	107.2	60	Spectrogram 1	1	250	4153.2822027439	059_f0-300_ncomp-13_neg.wav_1	f0 300	13_n
109	110	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	109	61	Spectrogram 1	1	250	4153.2822027439	060_f0-300_ncomp-13_pos.wav_1	f0 300	13_p
110.8	111.8	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	110.8	62	Spectrogram 1	1	250	4510.41825457317	061_f0-300_ncomp-14_neg.wav_1	f0 300	14_n
112.6	113.6	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	112.6	63	Spectrogram 1	1	250	4510.41825457317	062_f0-300_ncomp-14_pos.wav_1	f0 300	14_p
114.4	115.4	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	114.4	64	Spectrogram 1	1	250	4778.27029344512	063_f0-300_ncomp-15_neg.wav_1	f0 300	15_n
116.2	117.2	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	116.2	65	Spectrogram 1	1	250	4778.27029344512	064_f0-300_ncomp-15_pos.wav_1	f0 300	15_p
118	119	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	118	66	Spectrogram 1	1	250	5135.40634527439	065_f0-300_ncomp-16_neg.wav_1	f0 300	16_n
119.8	120.8	random_start_schroeder_master.wav	/home/m/Dropbox/Projects/acoustic_fine_features_zebra_finch/data/processed/random_start_schroeder_master.wav	119.8	67	Spectrogram 1	1	250	5135.40634527439	066_f0-300_ncomp-16_pos.wav_1	f0 300	16_p
